央视频道,#genre#
CCTV1,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=1000000001000021973&channel-id=ystenlive&livemode=1&stbId=iptv
CCTV2,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=1000000001000012442&channel-id=ystenlive&livemode=1&stbId=iptv
CCTV3,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=1000000001000011218&channel-id=ystenlive&livemode=1&stbId=iptv
CCTV4,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=1000000002000031664&channel-id=ystenlive&livemode=1&stbId=iptv
CCTV5,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=1000000001000004794&channel-id=ystenlive&livemode=1&stbId=iptv
CCTV5+,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=1000000001000020505&channel-id=ystenlive&livemode=1&stbId=iptv
CCTV6,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=1000000001000016466&channel-id=ystenlive&livemode=1&stbId=iptv
CCTV7,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=1000000001000017218&channel-id=ystenlive&livemode=1&stbId=iptv
CCTV8,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=1000000001000003736&channel-id=ystenlive&livemode=1&stbId=iptv
CCTV9,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=1000000001000028286&channel-id=ystenlive&livemode=1&stbId=iptv
CCTV10,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=1000000001000026367&channel-id=ystenlive&livemode=1&stbId=iptv
CCTV11,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=1000000002000019789&channel-id=ystenlive&livemode=1&stbId=iptv
CCTV12,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=1000000001000001640&channel-id=ystenlive&livemode=1&stbId=iptv
CCTV13,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=1000000002000021303&channel-id=ystenlive&livemode=1&stbId=iptv
CCTV14,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=1000000001000021349&channel-id=ystenlive&livemode=1&stbId=iptv
CCTV15,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=1000000002000008163&channel-id=ystenlive&livemode=1&stbId=iptv
CCTV16,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=1000000006000233002&channel-id=ystenlive&livemode=1&stbId=iptv
CCTV17,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=1000000005000056836&channel-id=ystenlive&livemode=1&stbId=iptv
CETV1,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=1000000002000027253&channel-id=ystenlive&livemode=1&stbId=iptv
CETV2,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=1000000005000266004&channel-id=ystenlive&livemode=1&stbId=iptv
CETV4,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=1000000005000025333&channel-id=ystenlive&livemode=1&stbId=iptv
CGTN,http://gslbserv.itv.cmvideo.cn/1.m3u8?Contentid=7745129417417101820&channel-id=hnbblive&livemode=1&stbId=iptv
